Day,Time,Open Price ask,Open Price bid,High Price ask,High Price bid,Low Price ask,Low Price bid,Close Price ask,Close Price bid,Last Trade Volume
20-08-14,20-08-14T07:50:09,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,8
20-08-14,20-08-14T07:50:10,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:11,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,5
20-08-14,20-08-14T07:50:12,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,15
20-08-14,20-08-14T07:50:13,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,0
20-08-14,20-08-14T07:50:14,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,0
20-08-14,20-08-14T07:50:15,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4
20-08-14,20-08-14T07:50:16,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,0
20-08-14,20-08-14T07:50:17,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,0
20-08-14,20-08-14T07:50:18,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,4228.5,4225.7,0
20-08-14,20-08-14T07:50:19,4228.7,4225.9,4229.5,4226.7,4229.1,4225.9,4229.1,4226.3,2
20-08-14,20-08-14T07:50:20,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:21,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:22,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:23,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:24,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:25,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:26,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:27,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:28,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:29,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:30,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,1
20-08-14,20-08-14T07:50:31,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:32,4229.7,4226.9,4229.7,4226.9,4229.7,4226.9,4229.7,4226.9,36
20-08-14,20-08-14T07:50:33,4230.5,4227.7,4230.5,4227.7,4230.1,4227.3,4230.1,4227.3,2
20-08-14,20-08-14T07:50:34,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,17
20-08-14,20-08-14T07:50:35,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,1
20-08-14,20-08-14T07:50:36,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,4230.5,4227.7,0
20-08-14,20-08-14T07:50:37,4230.1,4227.3,4230.1,4227.3,4229.7,4226.9,4229.7,4226.9,0
20-08-14,20-08-14T07:50:38,4230.1,4227.3,4230.1,4227.3,4230.1,4227.3,4230.1,4227.3,0
20-08-14,20-08-14T07:50:39,4230.1,4227.3,4230.1,4227.3,4230.1,4227.3,4230.1,4227.3,0
20-08-14,20-08-14T07:50:40,4230.0,4227.2,4230.0,4227.2,4229.5,4226.7,4229.5,4226.7,15
20-08-14,20-08-14T07:50:41,4230.0,4227.2,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
20-08-14,20-08-14T07:50:42,4230.0,4227.2,4229.5,4226.7,4229.5,4226.7,4229.5,4226.7,0
